File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022214041728_aid0001,SDS_LST,aid0001,2022-08-02 04:17:28 UTC,23090,016,0601,True,1946.0,153.88,276.54,"(153.88,276.54)",251.6120761,13.431486,180.4048155,259.515,276.54,253.96,228.8,247.22
ECO2LSTE_001_SDS_LST_doy2022216192035_aid0001,SDS_LST,aid0001,2022-08-04 19:20:35 UTC,23131,004,0601,False,1935.0,256.92,313.76,"(256.92,313.76)",290.7064496,10.8000436,116.6409416,298.58,313.76,291.26,262.46,283.9
ECO2LSTE_001_SDS_LST_doy2022218023956_aid0001,SDS_LST,aid0001,2022-08-06 02:39:56 UTC,23151,016,0601,True,1964.0,296.52,301.04,"(296.52,301.04)",298.4027597,0.6122869,0.3748952,298.76,299.9,298.38,296.86,298.0
ECO2LSTE_001_SDS_LST_doy2022219183038_aid0001,SDS_LST,aid0001,2022-08-07 18:30:38 UTC,23177,005,0601,True,1965.0,312.84,325.88,"(312.84,325.88)",320.0109415,1.3275261,1.7623257,320.86,323.32,320.2,316.72,319.2
ECO2LSTE_001_SDS_LST_doy2022223165259_aid0001,SDS_LST,aid0001,2022-08-11 16:52:59 UTC,23239,005,0601,True,1932.0,304.62,315.16,"(304.62,315.16)",310.9170704,1.1682851,1.3648902,311.7,313.7,311.08,308.26,310.3
ECO2LSTE_001_SDS_LST_doy2022225232432_aid0001,SDS_LST,aid0001,2022-08-13 23:24:32 UTC,23274,012,0601,True,1950.0,311.7,320.04,"(311.7,320.04)",316.6144615,1.0825261,1.1718627,317.34,319.36,316.66,313.9,315.94
ECO2LSTE_001_SDS_LST_doy2022227151540_aid0001,SDS_LST,aid0001,2022-08-15 15:15:40 UTC,23300,002,0601,True,1957.0,295.54,300.18,"(295.54,300.18)",298.0721513,0.581237,0.3378364,298.44,299.48,298.1,296.64,297.72
ECO2LSTE_001_SDS_LST_doy2022228223616_aid0001,SDS_LST,aid0001,2022-08-16 22:36:16 UTC,23321,016,0601,True,1952.0,316.86,327.88,"(316.86,327.88)",322.7378996,1.5461075,2.3904483,323.88,326.94,322.76,318.5,321.66
ECO2LSTE_001_SDS_LST_doy2022231133851_aid0001,SDS_LST,aid0001,2022-08-19 13:38:51 UTC,23362,004,0601,True,1953.0,288.8,294.12,"(288.8,294.12)",290.152043,0.5771807,0.3331375,290.48,291.54,290.1,288.8,289.76
ECO2LSTE_001_SDS_LST_doy2022232205831_aid0001,SDS_LST,aid0001,2022-08-20 20:58:31 UTC,23382,015,0601,True,1946.0,315.26,325.22,"(315.26,325.22)",321.0220966,1.3531019,1.8308848,322.0,324.5,321.24,317.64,320.24
